p	N	T	S
1	1	0.0010000000	2550.0000000000
1	2	0.0000000000	4575.0000000000
1	4	0.0000000000	5081.2500000000
1	7	0.0000000000	5194.8969726562
1	10	0.0000000000	5223.0000000000
1	22	0.0010000000	5244.4218750000
1	47	0.0000000000	5248.7768554688
1	100	0.0000000000	5249.7299804688
1	220	0.0000000000	5249.9453125000
1	470	0.0000000000	5249.9863281250
1	1000	0.0010000000	5249.9956054688
1	2200	0.0000000000	5250.0024414062
1	4700	0.0000000000	5250.0058593750
1	10000	0.0000000000	5249.9980468750
1	22000	0.0000000000	5250.0185546875
1	47000	0.0000000000	5250.0014648438
1	100000	0.0010000000	5249.9858398438
1	220000	0.0020000001	5249.9086914062
1	470000	0.0030000000	5250.3452148438
1	1000000	0.0060000001	5248.5332031250
1	2200000	0.0140000004	5237.6733398438
1	4700000	0.0289999992	5286.6391601562
1	10000000	0.0619999990	5128.0107421875
1	22000000	0.1360000074	5682.0029296875
1	47000000	0.2890000045	4879.0795898438
1	100000000	0.6140000224	3102.7229003906
1	220000000	1.3530000448	1697.0964355469
1	470000000	2.9070000648	1074.0351562500
1	1000000000	6.1659998894	515.3960571289
1	2200000000	13.5539999008	234.2709503174
1	4700000000	31.7609996796	109.6587371826
1	10000000000	102.0650024414	51.5396080017
2	1	0.0010000000	2550.0000000000
2	2	0.0010000000	4575.0000000000
2	4	0.0010000000	5081.2500000000
2	7	0.0010000000	5194.8969726562
2	10	0.0010000000	5223.0000000000
2	22	0.0000000000	5244.4218750000
2	47	0.0010000000	5248.7773437500
2	100	0.0010000000	5249.7304687500
2	220	0.0010000000	5249.9448242188
2	470	0.0010000000	5249.9892578125
2	1000	0.0010000000	5249.9980468750
2	2200	0.0010000000	5249.9990234375
2	4700	0.0010000000	5250.0000000000
2	10000	0.0010000000	5249.9936523438
2	22000	0.0010000000	5249.9921875000
2	47000	0.0010000000	5250.0126953125
2	100000	0.0010000000	5250.0039062500
2	220000	0.0010000000	5249.9814453125
2	470000	0.0030000000	5249.8906250000
